temperature_reduced,vapor_density_reduced,vapor_density_uncertainty,liquid_density_reduced,liquid_density_uncertainty,saturation_pressure_reduced,saturation_pressure_uncertainty
0.60,0.0004765,0.0000006447,0.8812,0.0001015,0.0002841,0.0000003998
0.65,0.0010840,0.0000008909,0.8609,0.0002245,0.0006959,0.0000004147
0.70,0.0021640,0.0000006955,0.8398,0.0003081,0.0014830,0.0000005282
0.73,0.0031200,0.0000009424,0.8268,0.00007671,0.0022130,0.0000005363
0.75,0.0039130,0.0000008244,0.8183,0.0001304,0.0028350,0.0000007779
0.80,0.0065480,0.0000025120,0.7958,0.00009656,0.0049720,0.0000016470
0.85,0.0103100,0.0000043350,0.7727,0.00008343,0.0081130,0.0000030080
0.90,0.0154800,0.0000065350,0.7485,0.0001332,0.0125700,0.0000039130
0.95,0.0223900,0.0000014420,0.7231,0.0001541,0.0185400,0.0000007579
1.00,0.0314500,0.0000071320,0.6958,0.00007023,0.0263200,0.0000023610
1.05,0.0432800,0.0000069360,0.6663,0.0001115,0.0361600,0.0000046710
1.10,0.0587300,0.0000165600,0.6339,0.0001576,0.0483400,0.0000084280
1.15,0.0792800,0.0000346100,0.5970,0.00009314,0.0631400,0.0000107000
1.20,0.1080000,0.0000472200,0.5527,0.0001207,0.0809100,0.0000186000
1.25,0.1553000,0.0001144000,0.4906,0.0001891,0.1021000,0.0000142000
