task_id	state_id	ph	nacl_mM	concentration_mg_ml	seed	output_dir	state_config	md_config	expected_state_model_id
0	pH3_nacl0_c0p1_seed20260813	3.0	0.0	0.1	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c0p1_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
1	pH3_nacl0_c0p2_seed20260813	3.0	0.0	0.2	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c0p2_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
2	pH3_nacl0_c0p5_seed20260813	3.0	0.0	0.5	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c0p5_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
3	pH3_nacl0_c1_seed20260813	3.0	0.0	1.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c1_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
4	pH3_nacl0_c2_seed20260813	3.0	0.0	2.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c2_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
5	pH3_nacl0_c5_seed20260813	3.0	0.0	5.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c5_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
6	pH3_nacl0_c10_seed20260813	3.0	0.0	10.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c10_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
7	pH3_nacl0_c20_seed20260813	3.0	0.0	20.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl0_c20_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
8	pH3_nacl25_c0p1_seed20260813	3.0	25.0	0.1	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c0p1_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
9	pH3_nacl25_c0p2_seed20260813	3.0	25.0	0.2	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c0p2_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
10	pH3_nacl25_c0p5_seed20260813	3.0	25.0	0.5	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c0p5_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
11	pH3_nacl25_c1_seed20260813	3.0	25.0	1.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c1_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
12	pH3_nacl25_c2_seed20260813	3.0	25.0	2.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c2_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
13	pH3_nacl25_c5_seed20260813	3.0	25.0	5.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c5_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
14	pH3_nacl25_c10_seed20260813	3.0	25.0	10.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c10_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
15	pH3_nacl25_c20_seed20260813	3.0	25.0	20.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl25_c20_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
16	pH3_nacl50_c0p1_seed20260813	3.0	50.0	0.1	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c0p1_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
17	pH3_nacl50_c0p2_seed20260813	3.0	50.0	0.2	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c0p2_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
18	pH3_nacl50_c0p5_seed20260813	3.0	50.0	0.5	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c0p5_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
19	pH3_nacl50_c1_seed20260813	3.0	50.0	1.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c1_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
20	pH3_nacl50_c2_seed20260813	3.0	50.0	2.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c2_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
21	pH3_nacl50_c5_seed20260813	3.0	50.0	5.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c5_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
22	pH3_nacl50_c10_seed20260813	3.0	50.0	10.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c10_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
23	pH3_nacl50_c20_seed20260813	3.0	50.0	20.0	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl50_c20_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
24	pH3_nacl100_c0p1_seed20260813	3.0	100.0	0.1	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl100_c0p1_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
25	pH3_nacl100_c0p2_seed20260813	3.0	100.0	0.2	20260813	results/refcba_full_grid_v3/coarse/pH3_nacl100_c0p2_seed20260813	configs/refcba_state_model.yaml	configs/refcba_md.yaml	huang_anchored_refcba_gouy_chapman_salt_v3
